# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 15:56:09 2019
#
# User preference: *
#
# CONSTRAINT:  order by fpl_hostname asc
#
# COLUMN fpl_hostname:   Host Name
# COLUMN fpl_letter:     Planet Letter
# COLUMN fpl_name:       Planet Name
# COLUMN fpl_discmethod: Discovery Method
# COLUMN fpl_controvflag: Controversial Flag
# COLUMN fpl_disc:       Year of Discovery
# COLUMN fpl_orbper:     Orbital Period [days]
# COLUMN fpl_smax:       Orbit Semi-Major Axis [AU]
# COLUMN fpl_eccen:      Eccentricity
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass]
# COLUMN fpl_bmassprov:  Planet Mass or M*sin(i) Provenance
# COLUMN fpl_rade:       Planet Radius [Earth radii]
# COLUMN fpl_dens:       Planet Density [g/cm**3]
# COLUMN fpl_eqt:        Equilibrium Temperature [K]
# COLUMN fpl_tranflag:   Planet Transit Flag
# COLUMN fpl_cbflag:     Planet Circumbinary Flag
# COLUMN fpl_snum:       Number of Stars in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN fst_dist:       Distance [pc]
# COLUMN fst_optmag:     Optical Magnitude [mag]
# COLUMN fst_optmagband: Optical Magnitude Band
# COLUMN fst_nirmag:     Near-IR Magnitude [mag]
# COLUMN fst_nirmagband: Near-IR Magnitude Band
# COLUMN fst_spt:        Spectral Type
# COLUMN fst_teff:       Effective Temperature [K]
# COLUMN fst_logg:       Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)]
# COLUMN fst_mass:       Stellar Mass [Solar mass]
# COLUMN fst_rad:        Stellar Radius [Solar radii]
# COLUMN fst_met:        Stellar Metallicity [dex]
# COLUMN fst_metratio:   Metallicity Ratio
# COLUMN fst_age:        Stellar Age [Gyr]
#
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassprov,fpl_rade,fpl_dens,fpl_eqt,fpl_tranflag,fpl_cbflag,fpl_snum,ra_str,ra,dec_str,dec,fst_dist,fst_optmag,fst_optmagband,fst_nirmag,fst_nirmagband,fst_spt,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age
1951,Kepler-1465,b,Kepler-1465 b,Transit,0,2016,31.82771110,,,3.78000,M-R relationship,1.770,3.75000,,1,0,1,19h19m16.64s,289.819341,+51d54m17.5s,51.904850,350.00,14.420,G (Gaia),12.043,Ks (2MASS),,4726.00,4.62,-0.719,0.75,0.71,-0.060,[Fe/H],3.720
1952,Kepler-1466,b,Kepler-1466 b,Transit,0,2016,31.17504480,,,3.02000,M-R relationship,1.550,4.46000,,1,0,1,19h19m19.49s,289.831222,+44d36m35.5s,44.609863,686.00,13.869,G (Gaia),12.408,Ks (2MASS),,5884.00,4.43,-0.059,1.01,1.02,-0.070,[Fe/H],3.890
1953,Kepler-1467,b,Kepler-1467 b,Transit,0,2016,47.05690430,,,10.90000,M-R relationship,3.300,1.67000,,1,0,1,19h40m11.65s,295.048540,+45d20m33.7s,45.342686,890.00,15.521,G (Gaia),13.577,Ks (2MASS),,5332.00,4.55,-0.406,0.86,0.82,-0.070,[Fe/H],4.370
1954,Kepler-1468,b,Kepler-1468 b,Transit,0,2016,8.23984869,,,3.64000,M-R relationship,1.730,3.86000,,1,0,1,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,14.952,G (Gaia),13.458,Ks (2MASS),,5893.00,4.42,0.508,1.04,1.05,0.030,[Fe/H],3.550
1955,Kepler-1468,c,Kepler-1468 c,Transit,0,2016,3.54553021,,,1.60000,M-R relationship,1.150,5.78000,,1,0,1,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,14.952,G (Gaia),13.458,Ks (2MASS),,5893.00,4.42,0.508,1.04,1.05,0.030,[Fe/H],3.550
1956,Kepler-1469,b,Kepler-1469 b,Transit,0,2016,21.86353010,,,8.25000,M-R relationship,2.800,2.07000,,1,0,1,19h35m17.13s,293.821357,+39d23m28.9s,39.391350,1255.00,15.989,G (Gaia),14.119,Ks (2MASS),,5507.00,4.51,-0.328,0.92,0.89,0.020,[Fe/H],4.470
1957,Kepler-147,b,Kepler-147 b,Transit,0,2014,12.61058400,0.113000,,2.96000,M-R relationship,1.530,4.54000,,1,0,1,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,1073.89,13.915,G (Gaia),12.416,Ks (2MASS),,6012.00,4.18,0.371,1.14,1.47,0.070,[Fe/H],4.470
1958,Kepler-147,c,Kepler-147 c,Transit,0,2014,33.41642300,0.216000,,6.48000,M-R relationship,2.430,2.48000,,1,0,1,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,1073.89,13.915,G (Gaia),12.416,Ks (2MASS),,6012.00,4.18,0.371,1.14,1.47,0.070,[Fe/H],4.470
1959,Kepler-1470,b,Kepler-1470 b,Transit,0,2016,16.29509030,,,1.24000,M-R relationship,1.070,5.56000,,1,0,1,19h14m46.80s,288.695007,+39d52m59.5s,39.883191,569.00,15.044,G (Gaia),12.896,Ks (2MASS),,4961.00,4.59,-0.545,0.80,0.76,-0.010,[Fe/H],4.570
1960,Kepler-1471,b,Kepler-1471 b,Transit,0,2016,3.63899398,,,2.57000,M-R relationship,1.410,5.04000,,1,0,1,19h18m39.57s,289.664878,+50d01m12.2s,50.020046,1059.00,15.246,G (Gaia),13.604,Ks (2MASS),,5660.00,4.48,-0.207,0.95,0.93,-0.030,[Fe/H],4.570
1961,Kepler-1472,b,Kepler-1472 b,Transit,0,2016,38.13128310,,,4.27000,M-R relationship,1.900,3.42000,,1,0,1,19h39m24.64s,294.852648,+49d03m26.9s,49.057472,1269.00,14.590,G (Gaia),13.255,Ks (2MASS),,6159.00,4.31,0.411,1.16,1.25,0.030,[Fe/H],3.090
1962,Kepler-1473,b,Kepler-1473 b,Transit,0,2016,14.42735510,,,1.81000,M-R relationship,1.190,5.90000,,1,0,1,19h22m32.78s,290.636569,+48d59m45.9s,48.996082,625.00,13.368,G (Gaia),12.009,Ks (2MASS),,6046.00,4.40,0.164,1.09,1.09,-0.010,[Fe/H],2.630
1963,Kepler-1474,b,Kepler-1474 b,Transit,0,2016,36.43334520,,,5.31000,M-R relationship,2.160,2.90000,,1,0,1,19h38m46.57s,294.694049,+45d52m00.6s,45.866837,1214.00,15.217,G (Gaia),13.621,Ks (2MASS),,5870.00,4.42,-0.027,1.04,1.04,0.040,[Fe/H],3.800
1964,Kepler-1475,b,Kepler-1475 b,Transit,0,2016,82.17737400,,,8.85000,M-R relationship,2.920,1.95000,,1,0,1,19h43m47.59s,295.948273,+44d45m11.2s,44.753124,1714.00,15.277,G (Gaia),13.880,Ks (2MASS),,6214.00,4.29,0.191,1.18,1.28,0.030,[Fe/H],2.820
1965,Kepler-1476,b,Kepler-1476 b,Transit,0,2016,10.35863224,,,3.43000,M-R relationship,1.670,4.05000,,1,0,1,18h58m07.70s,284.532096,+43d59m23.8s,43.989956,1218.00,15.409,G (Gaia),13.828,Ks (2MASS),,5663.00,4.47,-0.248,0.98,0.96,0.060,[Fe/H],4.570
1966,Kepler-1477,b,Kepler-1477 b,Transit,0,2016,11.55530021,,,1.76000,M-R relationship,1.180,5.89000,,1,0,1,18h45m11.65s,281.298535,+42d41m08.7s,42.685753,525.00,14.576,G (Gaia),12.594,Ks (2MASS),,5100.00,4.58,-0.230,0.81,0.78,-0.060,[Fe/H],4.680
1967,Kepler-1478,b,Kepler-1478 b,Transit,0,2016,26.08405940,,,3.64000,M-R relationship,1.730,3.86000,,1,0,1,19h32m39.62s,293.165079,+41d44m46.4s,41.746235,1405.00,15.399,G (Gaia),13.873,Ks (2MASS),,5904.00,4.41,0.288,1.04,1.06,0.030,[Fe/H],3.980
1968,Kepler-1479,b,Kepler-1479 b,Transit,0,2016,14.53261362,,,4.01000,M-R relationship,1.830,3.60000,,1,0,1,19h02m50.86s,285.711919,+49d42m24.0s,49.706657,619.00,13.733,G (Gaia),12.256,Ks (2MASS),,5796.00,4.45,0.123,0.99,0.98,-0.020,[Fe/H],4.270
1969,Kepler-148,b,Kepler-148 b,Transit,0,2014,1.72936600,0.028000,,3.89000,M-R relationship,1.800,3.67000,,1,0,1,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,15.336,G (Gaia),13.359,Ks (2MASS),,5272.00,4.55,-0.408,0.86,0.85,0.070,[Fe/H],4.680
1970,Kepler-148,c,Kepler-148 c,Transit,0,2014,4.18004300,0.050000,,12.60000,M-R relationship,3.600,1.48000,,1,0,1,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,15.336,G (Gaia),13.359,Ks (2MASS),,5272.00,4.55,-0.408,0.86,0.85,0.070,[Fe/H],4.680
1971,Kepler-148,d,Kepler-148 d,Transit,0,2016,51.84688575,,,56.30000,M-R relationship,8.680,0.47300,,1,0,1,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,15.336,G (Gaia),13.359,Ks (2MASS),,5272.00,4.55,-0.408,0.86,0.85,0.070,[Fe/H],4.680
1972,Kepler-1480,b,Kepler-1480 b,Transit,0,2016,22.12679948,,,3.43000,M-R relationship,1.670,4.05000,,1,0,1,19h27m59.95s,291.999771,+49d18m06.5s,49.301811,540.00,14.482,G (Gaia),12.584,Ks (2MASS),,5156.00,4.56,-0.462,0.85,0.81,0.070,[Fe/H],4.790
1973,Kepler-1481,b,Kepler-1481 b,Transit,0,2016,5.94220998,,,2.04000,M-R relationship,1.230,6.02000,,1,0,1,19h17m45.35s,289.438971,+49d43m52.4s,49.731220,493.00,14.743,G (Gaia),12.603,Ks (2MASS),,4908.00,4.60,-0.632,0.80,0.75,0.040,[Fe/H],3.890
1974,Kepler-1482,b,Kepler-1482 b,Transit,0,2016,12.25383217,,,1.01000,M-R relationship,1.010,5.39000,,1,0,1,19h01m15.31s,285.313805,+48d43m30.9s,48.725254,442.00,13.730,G (Gaia),11.996,Ks (2MASS),,5381.00,4.54,-0.081,0.88,0.84,-0.040,[Fe/H],4.470
1975,Kepler-1483,b,Kepler-1483 b,Transit,0,2016,9.50851560,,,2.92000,M-R relationship,1.520,4.57000,,1,0,1,19h41m38.35s,295.409776,+42d09m03.0s,42.150831,1327.00,14.423,G (Gaia),13.077,Ks (2MASS),,6337.00,4.24,0.344,1.25,1.40,0.040,[Fe/H],2.400
1976,Kepler-1484,b,Kepler-1484 b,Transit,0,2016,30.45491360,,,5.10000,M-R relationship,2.110,2.98000,,1,0,1,19h30m44.23s,292.684285,+38d07m34.6s,38.126286,1095.00,15.247,G (Gaia),13.646,Ks (2MASS),,5730.00,4.49,-0.085,0.94,0.92,-0.170,[Fe/H],3.980
1977,Kepler-1485,b,Kepler-1485 b,Transit,0,2016,19.91577250,,,2.76000,M-R relationship,1.470,4.77000,,1,0,1,19h52m22.90s,298.095423,+44d44m13.4s,44.737057,550.00,13.180,G (Gaia),11.724,Ks (2MASS),,6087.00,4.39,0.196,1.11,1.12,0.020,[Fe/H],2.510
1978,Kepler-1486,b,Kepler-1486 b,Transit,0,2016,54.64957590,,,5.99000,M-R relationship,2.320,2.64000,,1,0,1,19h22m21.69s,290.590382,+45d26m23.0s,45.439713,1465.00,15.294,G (Gaia),13.896,Ks (2MASS),,5965.00,4.38,0.306,1.08,1.12,0.060,[Fe/H],3.550
1979,Kepler-1487,b,Kepler-1487 b,Transit,0,2016,7.31946363,,,5.18000,M-R relationship,2.130,2.95000,,1,0,1,19h41m59.55s,295.498108,+38d38m40.2s,38.644501,1094.00,13.451,G (Gaia),12.289,Ks (2MASS),,6541.00,4.16,0.521,1.38,1.63,0.040,[Fe/H],1.950
1980,Kepler-1488,b,Kepler-1488 b,Transit,0,2016,39.81899320,,,4.12000,M-R relationship,1.860,3.52000,,1,0,1,19h06m35.14s,286.646417,+49d56m16.0s,49.937778,618.00,13.077,G (Gaia),11.638,Ks (2MASS),,5820.00,4.22,0.579,1.05,1.31,0.060,[Fe/H],6.920
1981,Kepler-1489,b,Kepler-1489 b,Transit,0,2016,82.29475100,,,3.78000,M-R relationship,1.770,3.75000,,1,0,1,18h45m11.00s,281.295831,+44d27m55.5s,44.465405,870.00,14.808,G (Gaia),13.247,Ks (2MASS),,5655.00,4.51,0.205,0.93,0.90,-0.130,[Fe/H],4.070
1982,Kepler-149,b,Kepler-149 b,Transit,0,2014,29.19894300,0.184000,,16.50000,M-R relationship,4.210,1.22000,,1,0,1,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,14.019,G (Gaia),12.184,Ks (2MASS),,5381.00,4.46,-0.181,0.92,0.95,0.170,[Fe/H],6.310
1983,Kepler-149,c,Kepler-149 c,Transit,0,2014,55.32832800,0.281000,,3.22000,M-R relationship,1.610,4.24000,,1,0,1,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,14.019,G (Gaia),12.184,Ks (2MASS),,5381.00,4.46,-0.181,0.92,0.95,0.170,[Fe/H],6.310
1984,Kepler-149,d,Kepler-149 d,Transit,0,2014,160.01803200,0.571000,,14.90000,M-R relationship,3.960,1.32000,,1,0,1,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,14.019,G (Gaia),12.184,Ks (2MASS),,5381.00,4.46,-0.181,0.92,0.95,0.170,[Fe/H],6.310
1985,Kepler-1490,b,Kepler-1490 b,Transit,0,2016,92.43629730,,,9.48000,M-R relationship,3.040,1.85000,,1,0,1,19h42m46.46s,295.693573,+42d36m34.2s,42.609512,968.00,15.418,G (Gaia),13.616,Ks (2MASS),,5515.00,4.52,-0.360,0.90,0.87,-0.080,[Fe/H],4.570
1986,Kepler-1491,b,Kepler-1491 b,Transit,0,2016,16.58617620,,,2.89000,M-R relationship,1.510,4.61000,,1,0,1,19h34m31.14s,293.629756,+45d44m26.3s,45.740651,1312.00,15.570,G (Gaia),13.949,Ks (2MASS),,5728.00,4.45,0.344,1.00,0.99,0.060,[Fe/H],4.570
1987,Kepler-1492,b,Kepler-1492 b,Transit,0,2016,16.75255007,,,2.83000,M-R relationship,1.490,4.70000,,1,0,1,19h14m23.30s,288.597097,+41d02m11.1s,41.036420,371.00,14.496,G (Gaia),12.158,Ks (2MASS),,4712.00,4.62,-0.810,0.77,0.72,0.060,[Fe/H],2.820
1988,Kepler-1493,b,Kepler-1493 b,Transit,0,2016,15.02179830,,,2.57000,M-R relationship,1.410,5.04000,,1,0,1,19h14m11.80s,288.549148,+38d33m54.8s,38.565232,572.00,13.861,G (Gaia),11.530,Ks (2MASS),,5863.00,4.24,0.249,1.06,1.29,0.060,[Fe/H],6.460
1989,Kepler-1494,b,Kepler-1494 b,Transit,0,2016,91.08048200,,,9.64000,M-R relationship,3.070,1.83000,,1,0,1,18h50m37.78s,282.657401,+43d09m45.1s,43.162518,1059.00,15.217,G (Gaia),13.536,Ks (2MASS),,5659.00,4.48,0.049,0.96,0.94,0.010,[Fe/H],4.370
1990,Kepler-1495,b,Kepler-1495 b,Transit,0,2016,85.27325600,,,8.96000,M-R relationship,2.940,1.94000,,1,0,1,19h04m31.38s,286.130757,+38d46m46.7s,38.779631,1307.00,15.625,G (Gaia),13.845,Ks (2MASS),,5831.00,4.42,0.052,1.03,1.04,0.060,[Fe/H],4.170
1991,Kepler-1496,b,Kepler-1496 b,Transit,0,2016,64.65880170,,,5.56000,M-R relationship,2.220,2.79000,,1,0,1,19h35m53.74s,293.973936,+45d21m02.5s,45.350704,1293.00,14.682,G (Gaia),13.225,Ks (2MASS),,6182.00,4.29,0.265,1.18,1.27,0.050,[Fe/H],2.950
1992,Kepler-1497,b,Kepler-1497 b,Transit,0,2016,8.74199772,,,3.39000,M-R relationship,1.660,4.07000,,1,0,1,19h44m47.07s,296.196140,+45d38m03.6s,45.634331,1122.00,15.376,G (Gaia),13.699,Ks (2MASS),,5675.00,4.47,-0.073,0.96,0.95,0.010,[Fe/H],4.270
1993,Kepler-1498,b,Kepler-1498 b,Transit,0,2016,48.05140500,,,2.33000,M-R relationship,1.330,5.44000,,1,0,1,18h59m06.75s,284.778110,+44d55m00.4s,44.916782,740.00,15.100,G (Gaia),13.238,Ks (2MASS),,5256.00,4.56,-0.166,0.86,0.81,-0.010,[Fe/H],4.170
1994,Kepler-1499,b,Kepler-1499 b,Transit,0,2016,44.20080000,,,1.81000,M-R relationship,1.190,5.90000,,1,0,1,18h55m56.72s,283.986337,+41d39m01.5s,41.650406,310.00,13.516,G (Gaia),11.455,Ks (2MASS),,5097.00,4.58,-0.492,0.82,0.78,-0.010,[Fe/H],4.680
1995,Kepler-15,b,Kepler-15 b,Transit,0,2011,4.94278200,0.057140,0.060000,209.76000,Mass,10.760,0.93000,1251,1,0,1,19h44m48.14s,296.200595,+49d08m24.4s,49.140125,755.38,13.714,G (Gaia),12.216,Ks (2MASS),,5515.00,4.46,-0.087,1.02,0.99,0.360,[Fe/H],3.700
1996,Kepler-150,b,Kepler-150 b,Transit,0,2014,3.42805400,0.044000,,2.10000,M-R relationship,1.250,5.91000,,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.40,14.974,G (Gaia),13.367,Ks (2MASS),,5560.00,4.47,-0.180,0.94,0.94,-0.020,[Fe/H],4.570
1997,Kepler-150,c,Kepler-150 c,Transit,0,2014,7.38199800,0.073000,,13.20000,M-R relationship,3.690,1.44000,,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.40,14.974,G (Gaia),13.367,Ks (2MASS),,5560.00,4.47,-0.180,0.94,0.94,-0.020,[Fe/H],4.570
1998,Kepler-150,d,Kepler-150 d,Transit,0,2014,12.56093000,0.104000,,8.20000,M-R relationship,2.790,2.07000,,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.40,14.974,G (Gaia),13.367,Ks (2MASS),,5560.00,4.47,-0.180,0.94,0.94,-0.020,[Fe/H],4.570
1999,Kepler-150,e,Kepler-150 e,Transit,0,2014,30.82655700,0.189000,,9.91000,M-R relationship,3.120,1.79000,,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.40,14.974,G (Gaia),13.367,Ks (2MASS),,5560.00,4.47,-0.180,0.94,0.94,-0.020,[Fe/H],4.570
2000,Kepler-150,f,Kepler-150 f,Transit,0,2017,637.20930000,1.240000,,12.90000,M-R relationship,3.640,1.47000,,1,0,1,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.40,14.974,G (Gaia),13.367,Ks (2MASS),,5560.00,4.47,-0.180,0.94,0.94,-0.020,[Fe/H],4.570
2001,Kepler-1500,b,Kepler-1500 b,Transit,0,2016,15.03301050,,,1.87000,M-R relationship,1.200,5.95000,,1,0,1,19h15m32.00s,288.883334,+39d44m40.5s,39.744572,904.00,14.580,G (Gaia),13.030,Ks (2MASS),,5845.00,4.44,0.242,1.00,1.00,-0.050,[Fe/H],4.070
2002,Kepler-1501,b,Kepler-1501 b,Transit,0,2016,14.55645330,,,3.05000,M-R relationship,1.560,4.41000,,1,0,1,19h19m40.44s,289.918519,+42d00m05.2s,42.001431,888.00,13.646,G (Gaia),12.364,Ks (2MASS),,6229.00,4.28,0.176,1.20,1.30,0.040,[Fe/H],2.750
2003,Kepler-1502,b,Kepler-1502 b,Transit,0,2016,41.70836290,,,10.20000,M-R relationship,3.180,1.74000,,1,0,1,19h44m25.90s,296.107919,+39d19m11.7s,39.319913,1540.00,14.093,G (Gaia),12.907,Ks (2MASS),,6666.00,4.13,0.625,1.44,1.72,0.050,[Fe/H],1.700
2004,Kepler-1503,b,Kepler-1503 b,Transit,0,2016,96.16987000,,,5.77000,M-R relationship,2.270,2.71000,,1,0,1,19h34m54.52s,293.727175,+42d48m24.3s,42.806759,850.00,15.786,G (Gaia),13.767,Ks (2MASS),,5069.00,4.59,-0.188,0.77,0.74,-0.190,[Fe/H],5.130
2005,Kepler-1504,b,Kepler-1504 b,Transit,0,2016,82.30400300,,,5.18000,M-R relationship,2.130,2.95000,,1,0,1,19h18m50.88s,289.711993,+50d07m41.6s,50.128212,1029.00,15.631,G (Gaia),13.834,Ks (2MASS),,5393.00,4.55,0.480,0.85,0.81,-0.170,[Fe/H],4.470
2006,Kepler-1505,b,Kepler-1505 b,Transit,0,2016,30.86093660,,,0.74900,M-R relationship,0.930,5.12000,,1,0,1,19h28m00.49s,292.002052,+41d47m13.1s,41.786961,359.00,12.926,G (Gaia),11.406,Ks (2MASS),,5686.00,4.54,0.110,0.93,0.86,-0.180,[Fe/H],1.700
2007,Kepler-1506,b,Kepler-1506 b,Transit,0,2016,14.03291540,,,2.30000,M-R relationship,1.320,5.50000,,1,0,1,19h20m35.97s,290.149884,+41d27m52.5s,41.464595,1318.00,15.624,G (Gaia),14.082,Ks (2MASS),,5676.00,4.49,0.446,0.95,0.93,-0.050,[Fe/H],3.980
2008,Kepler-1507,b,Kepler-1507 b,Transit,0,2016,16.05062130,,,0.52000,M-R relationship,0.840,4.82000,,1,0,1,19h14m14.77s,288.561525,+46d32m09.8s,46.536053,342.00,13.104,G (Gaia),11.386,Ks (2MASS),,5410.00,4.53,-0.330,0.89,0.85,-0.030,[Fe/H],4.570
2009,Kepler-1508,b,Kepler-1508 b,Transit,0,2016,20.70565040,,,2.33000,M-R relationship,1.330,5.44000,,1,0,1,19h52m28.53s,298.118885,+40d22m30.2s,40.375047,892.00,14.347,G (Gaia),12.603,Ks (2MASS),,6158.00,4.32,0.389,1.14,1.22,0.010,[Fe/H],2.690
2010,Kepler-1509,b,Kepler-1509 b,Transit,0,2016,25.43381970,,,4.08000,M-R relationship,1.850,3.54000,,1,0,1,18h55m11.48s,283.797813,+46d55m51.6s,46.931004,1277.00,15.332,G (Gaia),13.887,Ks (2MASS),,5780.00,4.45,0.396,1.00,0.99,0.030,[Fe/H],3.980
2011,Kepler-151,b,Kepler-151 b,Transit,0,2014,15.22895800,0.116000,,9.59000,M-R relationship,3.060,1.84000,,1,0,1,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,662.19,14.719,G (Gaia),12.864,Ks (2MASS),,5460.00,4.55,-0.362,0.87,0.83,-0.030,[Fe/H],4.680
2012,Kepler-151,c,Kepler-151 c,Transit,0,2014,24.67461200,0.160000,,5.02000,M-R relationship,2.090,3.02000,,1,0,1,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,662.19,14.719,G (Gaia),12.864,Ks (2MASS),,5460.00,4.55,-0.362,0.87,0.83,-0.030,[Fe/H],4.680
2013,Kepler-1510,b,Kepler-1510 b,Transit,0,2016,84.70392100,,,11.20000,M-R relationship,3.360,1.62000,,1,0,1,19h55m50.19s,298.959138,+48d15m28.2s,48.257824,1615.00,15.142,G (Gaia),13.728,Ks (2MASS),,6200.00,4.29,0.317,1.19,1.28,0.040,[Fe/H],2.750
2014,Kepler-1511,b,Kepler-1511 b,Transit,0,2016,23.23827920,,,3.46000,M-R relationship,1.680,4.01000,,1,0,1,19h13m41.09s,288.421218,+43d10m47.3s,43.179798,897.00,13.502,G (Gaia),12.471,Ks (2MASS),,6064.00,4.28,0.839,1.17,1.29,0.140,[Fe/H],3.310
2015,Kepler-1512,b,Kepler-1512 b,Transit,0,2016,20.35972599,0.109700,,1.76000,M-R relationship,1.180,10.20000,322,1,0,1,19h17m05.88s,289.274503,+44d28m12.9s,44.470253,162.00,13.263,G (Gaia),10.623,Ks (2MASS),,4372.00,4.64,-0.324,0.73,0.67,0.200,[Fe/H],1.780
2016,Kepler-1513,b,Kepler-1513 b,Transit,0,2016,160.88465087,,,53.90000,M-R relationship,8.460,0.48900,,1,0,1,19h19m09.99s,289.791634,+39d17m07.0s,39.285277,384.00,12.956,G (Gaia),11.309,Ks (2MASS),,5617.00,4.46,-0.199,0.99,0.97,0.140,[Fe/H],3.980
2017,Kepler-1514,b,Kepler-1514 b,Transit,0,2016,217.83176260,,,,,11.820,,,1,0,1,19h30m30.59s,292.627466,+37d51m36.5s,37.860133,379.00,11.829,G (Gaia),10.688,Ks (2MASS),,6251.00,4.35,0.340,1.21,1.22,0.140,[Fe/H],1.580
2018,Kepler-1515,b,Kepler-1515 b,Transit,0,2016,214.31141640,,,66.20000,M-R relationship,9.550,0.41800,,1,0,1,19h23m53.74s,290.973930,+48d10m41.4s,48.178162,504.00,11.998,G (Gaia),10.886,Ks (2MASS),,6511.00,4.26,0.542,1.30,1.41,0.070,[Fe/H],1.820
2019,Kepler-1516,b,Kepler-1516 b,Transit,0,2016,7.25931979,,,3.71000,M-R relationship,1.750,3.80000,,1,0,1,19h25m58.70s,291.494603,+44d31m24.6s,44.523502,872.00,14.447,G (Gaia),12.815,Ks (2MASS),,5904.00,4.40,0.410,1.04,1.07,0.030,[Fe/H],4.070
2020,Kepler-1517,b,Kepler-1517 b,Transit,0,2016,5.54608367,,,68.70000,M-R relationship,9.760,0.40600,,1,0,1,19h11m13.73s,287.807220,+43d11m19.6s,43.188778,869.00,12.174,G (Gaia),11.303,Ks (2MASS),,7010.00,4.06,0.873,1.58,1.95,0.010,[Fe/H],1.380
2021,Kepler-1518,b,Kepler-1518 b,Transit,0,2016,5.11177904,,,9.53000,M-R relationship,3.050,1.85000,,1,0,1,20h01m19.77s,300.332385,+44d59m10.1s,44.986137,1140.00,13.280,G (Gaia),12.058,Ks (2MASS),,6846.00,4.08,0.504,1.54,1.88,0.060,[Fe/H],1.480
2022,Kepler-1519,b,Kepler-1519 b,Transit,0,2016,240.79893970,,,39.60000,M-R relationship,7.060,0.61800,,1,0,1,19h46m40.30s,296.667903,+49d27m42.7s,49.461861,858.00,14.803,G (Gaia),13.189,Ks (2MASS),,5644.00,4.50,0.322,0.94,0.91,-0.070,[Fe/H],3.980
2023,Kepler-152,b,Kepler-152 b,Transit,0,2014,18.20797300,0.124000,,8.20000,M-R relationship,2.790,2.07000,,1,0,1,19h07m27.71s,286.865479,+41d59m20.7s,41.989086,446.77,14.244,G (Gaia),12.301,Ks (2MASS),,5088.00,4.61,-0.485,0.83,0.72,-0.160,[Fe/H],2.000
2024,Kepler-152,c,Kepler-152 c,Transit,0,2014,88.25505500,0.356000,,6.30000,M-R relationship,2.390,2.54000,,1,0,1,19h07m27.71s,286.865479,+41d59m20.7s,41.989086,446.77,14.244,G (Gaia),12.301,Ks (2MASS),,5088.00,4.61,-0.485,0.83,0.72,-0.160,[Fe/H],2.000
2025,Kepler-1520,b,Kepler-1520 b,Transit,0,2016,0.65355357,,,28.10000,M-R relationship,5.770,0.80400,,1,0,1,19h23m51.89s,290.966214,+51d30m17.0s,51.504723,636.00,15.693,G (Gaia),13.319,Ks (2MASS),,4677.00,4.61,-0.743,0.76,0.71,0.040,[Fe/H],4.470
2026,Kepler-1521,b,Kepler-1521 b,Transit,0,2016,47.14840805,,,6.80000,M-R relationship,2.500,2.39000,,1,0,1,19h30m45.67s,292.690301,+37d50m06.0s,37.835001,227.00,12.848,G (Gaia),10.840,Ks (2MASS),,5042.00,4.59,-0.572,0.81,0.76,-0.050,[Fe/H],4.470
2027,Kepler-1522,b,Kepler-1522 b,Transit,0,2016,1.84788917,,,3.64000,M-R relationship,1.730,3.86000,,1,0,1,19h19m22.37s,289.843226,+52d04m12.6s,52.070160,690.00,14.196,G (Gaia),12.621,Ks (2MASS),,5706.00,4.49,0.047,0.96,0.93,-0.070,[Fe/H],3.890
